date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,0001_000613s_reliability.cha,0001_000613s.wav,26,686310_687490,1,FAN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,687490_688350,2,OLN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,688350_689150,3,NOF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,689150_689960,4,OLN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,689960_691540,5,MAN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,691540_692220,6,CHN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,692220_692510,7,CHN,,691540_692220,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,692510_692850,8,CHN,,691540_692220,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,692850_694510,9,NOF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,694510_695310,10,SIL,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,695310_695830,11,CHF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,695830_695910,12,CHF,,695310_695830,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,695910_697280,13,FAN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,697280_699900,14,MAN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,699900_700900,15,SIL,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,700900_701700,16,NOF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,701700_704620,17,CXN,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,704620_706110,18,OLF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,706110_707100,19,SIL,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,707100_708350,20,NOF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,708350_709380,21,FAF,,N,False,False,True
,,0001_000613s_reliability.cha,0001_000613s.wav,26,709380_710210,22,CHN,,N,False,False,True
