date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,864090_865300,1,CHN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,865300_866720,2,SIL,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,866720_867730,3,CHN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,867730_868740,4,TVF,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,868740_869560,5,TVF,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,869560_872390,6,TVF,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,872390_873390,7,FAN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,873390_875120,8,OLN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,875120_876070,9,CXN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,876070_878830,10,FAN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,878830_879890,11,NOF,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,879890_880700,12,CXN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,880700_882220,13,CHN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,882220_882550,14,CHN,,880700_882220,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,882550_883910,15,CHN,,880700_882220,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,883910_884910,16,TVN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,884910_885950,17,FAN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,885950_886550,18,CXN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,886550_888490,19,FAN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,888490_889330,20,CXN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,889330_890340,21,FAN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,890340_890440,22,CHN,,N,False,False,True
,,e20130903_105737_009228_reliability.cha,e20130903_105737_009228.wav,33,890440_891150,23,CHN,,890340_890440,False,False,True
