clanfile,block_index,block_path,training,reliability
train_Block10_VanDam5,231,data_tree/train_Block10_VanDam5/231.zip,true,false
train_Block1_Bergelson,459,data_tree/train_Block1_Bergelson/459.zip,true,false
train_Block2_VanDam2,715,data_tree/train_Block2_VanDam2/715.zip,true,false
train_Block3_Bergelson,713,data_tree/train_Block3_Bergelson/713.zip,true,false
train_Block4_Warlaumont,151,data_tree/train_Block4_Warlaumont/151.zip,true,false
train_Block5_Warlaumont,320,data_tree/train_Block5_Warlaumont/320.zip,true,false
train_Block6_VanDam2,598,data_tree/train_Block6_VanDam2/598.zip,true,false
train_Block7_McDivitt,602,data_tree/train_Block7_McDivitt/602.zip,true,false
train_Block8_VanDam,891,data_tree/train_Block8_VanDam/891.zip,true,false
train_Block9_VanDam5,273,data_tree/train_Block9_VanDam5/273.zip,true,false
