date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9258200_9259200,1,FAN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9259200_9260450,2,OLN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9260450_9261460,3,FAN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9261460_9263400,4,OLN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9263400_9264440,5,FAN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9264440_9265240,6,OLN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9265240_9265940,7,CHN,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9265940_9266140,8,CHN,,9265240_9265940,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9266140_9266940,9,OLF,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9266940_9267740,10,SIL,,N,False,True,False
,,train_Block10_VanDam5.cha,e20110425_134043_003684.wav,231,9267740_9268540,11,CXN,,N,False,True,False
