date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15726200_15729420,1,MAN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15729420_15730460,2,OLN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15730460_15732700,3,MAN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15732700_15734000,4,OLF,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15734000_15735030,5,OLN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15735030_15736030,6,MAN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15736030_15736950,7,OLN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15736950_15738300,8,MAN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15738300_15739100,9,TVF,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15739100_15740100,10,MAN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15740100_15741400,11,OLN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15741400_15743920,12,MAN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15743920_15744730,13,OLN,,N,False,True,False
,,train_Block7_McDivitt.cha,106_000214.mp3,602,15744730_15745730,14,FAN,,N,False,True,False
