date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34217130_34217730,1,CXN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34217730_34219010,2,MAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34219010_34220490,3,OLF,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34220490_34222250,4,CHN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34222250_34223380,5,MAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34223380_34224440,6,SIL,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34224440_34226060,7,OLN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34226060_34227060,8,TVF,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34227060_34228060,9,MAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34228060_34228930,10,SIL,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34228930_34229930,11,FAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34229930_34231270,12,CXN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34231270_34232790,13,MAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34232790_34233790,14,TVF,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34233790_34235420,15,CHN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34235420_34237850,16,MAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34237850_34238600,17,FAN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34238600_34239400,18,CXN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34239400_34240480,19,CXN,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34240480_34242170,20,OLF,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34242170_34243150,21,SIL,,N,False,True,False
,,train_Block8_VanDam.cha,BS80_030213.mp3,891,34243150_34245080,22,MAN,,N,False,True,False
